,how_old_are_you,adjusted_annual_salary,annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,harmonized_salary
0,25-34,0.8850184083828944,55000.0,5-7 years,5-7 years,Master's degree,Woman,Education,55000.0
1,25-34,1.793468059813552,54600.0,8 - 10 years,5-7 years,College degree,Non-binary,Technology & Science,68796.0
2,25-34,0.5471022888185165,34000.0,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,34000.0
3,25-34,0.9976571149043537,62000.0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,62000.0
4,25-34,0.9654746273267939,60000.0,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,60000.0
5,25-34,0.9976571149043537,62000.0,8 - 10 years,2 - 4 years,Master's degree,Man,Education,62000.0
6,25-34,0.5310110450297366,33000.0,2 - 4 years,2 - 4 years,College degree,Woman,Culture,33000.0
7,25-34,0.8045621894389949,50000.0,5-7 years,5-7 years,Master's degree,Man,Education,50000.0
8,45-54,1.8022193043433485,112000.0,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,112000.0
9,35-44,0.7241059704950954,45000.0,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,45000.0
10,25-34,0.7643340799670452,47500.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,47500.0
11,35-44,0.9976571149043537,62000.0,11 - 20 years,5-7 years,PhD,Woman,Education,62000.0
12,35-44,1.6091243788779899,100000.0,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,100000.0
14,18-24,0.6022489041356965,32000.0,1 year or less,1 year or less,College degree,Woman,Health,25280.0
15,35-44,0.7883376087092536,24000.0,11 - 20 years,5-7 years,College degree,Man,Technology & Science,30240.0
16,35-44,1.3677557220462913,85000.0,8 - 10 years,8 - 10 years,Some college,Woman,Consulting,85000.0
17,45-54,0.949383383538014,59000.0,21 - 30 years,21 - 30 years,College degree,Woman,Culture,59000.0
18,35-44,1.57694189130043,98000.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Consulting,98000.0
19,35-44,0.8689271645941145,54000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,54000.0
20,25-34,1.1907520403697125,74000.0,5-7 years,5-7 years,Master's degree,Woman,Health,74000.0
21,35-44,0.8045621894389949,50000.0,5-7 years,2 - 4 years,PhD,Woman,Non profit Organization,50000.0
22,35-44,1.1856775300171527,63000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,49770.0
23,35-44,1.5447594037228702,96000.0,8 - 10 years,2 - 4 years,PhD,Woman,Public & Government,96000.0
25,35-44,0.9654746273267939,60000.0,11 - 20 years,1 year or less,Master's degree,Woman,Education,60000.0
26,25-34,0.9976571149043537,62000.0,5-7 years,2 - 4 years,College degree,Man,Non profit Organization,62000.0
27,35-44,0.7723797018614351,48000.0,11 - 20 years,2 - 4 years,College degree,Woman,Law,48000.0
28,35-44,2.2527741304291857,140000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,140000.0
29,25-34,1.287299503102392,80000.0,5-7 years,5-7 years,College degree,Woman,Industry,80000.0
30,25-34,0.6275585077624161,39000.0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,39000.0
31,35-44,2.0114054735974873,125000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Unidentified,125000.0
33,35-44,1.7700368167657887,110000.0,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,110000.0
34,25-34,0.8045621894389949,50000.0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,50000.0
35,35-44,1.094204577637033,68000.0,5-7 years,2 - 4 years,Master's degree,Woman,Education,68000.0
36,18-24,0.6597409953399758,41000.0,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,41000.0
37,25-34,1.2229345279472723,76000.0,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,76000.0
38,35-44,1.2551170155248321,78000.0,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,78000.0
39,25-34,0.5953760201848562,37000.0,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,37000.0
40,45-54,1.6091243788779899,100000.0,21 - 30 years,21 - 30 years,College degree,Woman,Industry,100000.0
41,35-44,1.149659012700995,35000.0,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,44100.0
42,25-34,1.0459308462706933,65000.0,5-7 years,5-7 years,College degree,Man,Public & Government,65000.0
43,25-34,3.017108210396231,187500.0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,187500.0
44,25-34,1.7700368167657887,110000.0,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,110000.0
45,25-34,1.0720791174274606,66625.0,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,66625.0
46,35-44,2.3267938518575733,144600.0,5-7 years,5-7 years,PhD,Woman,Technology & Science,144600.0
48,25-34,2.2584333905088623,120000.0,11 - 20 years,8 - 10 years,College degree,Woman,Industry,94800.0
50,35-44,1.5447594037228702,96000.0,5-7 years,5-7 years,PhD,Woman,Education,96000.0
51,25-34,0.8528359208053345,53000.0,5-7 years,1 year or less,Master's degree,Woman,Education,53000.0
52,25-34,1.5286681599340903,95000.0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,95000.0
