,cluster,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,harmonized_salary,adjusted_annual_salary
0,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,55000.0,0.8850184083828944
1,4,25-34,8 - 10 years,5-7 years,College degree,Non-binary,Technology & Science,well payed,68796.0,1.793468059813552
2,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,34000.0,0.5471022888185165
3,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,62000.0,0.9976571149043537
4,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed,60000.0,0.9654746273267939
5,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Man,Education,bad payed,62000.0,0.9976571149043537
6,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed,33000.0,0.5310110450297366
7,0,25-34,5-7 years,5-7 years,Master's degree,Man,Education,bad payed,50000.0,0.8045621894389949
8,4,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed,112000.0,1.8022193043433485
9,1,35-44,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,bad payed,45000.0,0.7241059704950954
10,5,25-34,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,47500.0,0.7643340799670452
11,3,35-44,11 - 20 years,5-7 years,PhD,Woman,Education,bad payed,62000.0,0.9976571149043537
12,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,well payed,100000.0,1.6091243788779899
14,2,18-24,1 year or less,1 year or less,College degree,Woman,Health,bad payed,25280.0,0.6022489041356965
15,1,35-44,11 - 20 years,5-7 years,College degree,Man,Technology & Science,bad payed,30240.0,0.7883376087092536
16,0,35-44,8 - 10 years,8 - 10 years,Some college,Woman,Consulting,well payed,85000.0,1.3677557220462913
17,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Culture,bad payed,59000.0,0.949383383538014
18,3,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,98000.0,1.57694189130043
19,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed,54000.0,0.8689271645941145
20,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Health,well payed,74000.0,1.1907520403697125
21,1,35-44,5-7 years,2 - 4 years,PhD,Woman,Non profit Organization,bad payed,50000.0,0.8045621894389949
22,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,49770.0,1.1856775300171527
23,1,35-44,8 - 10 years,2 - 4 years,PhD,Woman,Public & Government,well payed,96000.0,1.5447594037228702
25,3,35-44,11 - 20 years,1 year or less,Master's degree,Woman,Education,bad payed,60000.0,0.9654746273267939
26,2,25-34,5-7 years,2 - 4 years,College degree,Man,Non profit Organization,bad payed,62000.0,0.9976571149043537
27,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Law,bad payed,48000.0,0.7723797018614351
28,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,140000.0,2.2527741304291857
29,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,well payed,80000.0,1.287299503102392
30,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,39000.0,0.6275585077624161
31,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Unidentified,well payed,125000.0,2.0114054735974873
33,1,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,110000.0,1.7700368167657887
34,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,50000.0,0.8045621894389949
35,3,35-44,5-7 years,2 - 4 years,Master's degree,Woman,Education,well payed,68000.0,1.094204577637033
36,2,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,bad payed,41000.0,0.6597409953399758
37,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,76000.0,1.2229345279472723
38,3,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,78000.0,1.2551170155248321
39,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,37000.0,0.5953760201848562
40,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed,100000.0,1.6091243788779899
41,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed,44100.0,1.149659012700995
42,5,25-34,5-7 years,5-7 years,College degree,Man,Public & Government,well payed,65000.0,1.0459308462706933
43,4,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,187500.0,3.017108210396231
44,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,well payed,110000.0,1.7700368167657887
45,5,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,66625.0,1.0720791174274606
46,0,35-44,5-7 years,5-7 years,PhD,Woman,Technology & Science,well payed,144600.0,2.3267938518575733
48,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Industry,well payed,94800.0,2.2584333905088623
50,3,35-44,5-7 years,5-7 years,PhD,Woman,Education,well payed,96000.0,1.5447594037228702
51,0,25-34,5-7 years,1 year or less,Master's degree,Woman,Education,bad payed,53000.0,0.8528359208053345
52,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed,95000.0,1.5286681599340903
53,0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,well payed,72000.0,1.1585695527921527
54,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,41080.0,0.9786544692205069
55,3,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Industry,well payed,106000.0,1.705671841610669
56,5,25-34,5-7 years,5-7 years,PhD,Woman,Public & Government,well payed,115000.0,1.8504930357096883
57,5,25-34,11 - 20 years,5-7 years,College degree,Woman,Consulting,well payed,100500.0,1.6171700007723797
58,2,25-34,8 - 10 years,2 - 4 years,Some college,Woman,Law,bad payed,33200.0,0.5342292937874926
59,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,65520.0,1.7080648188700496
60,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed,52000.0,0.8367446770165546
61,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,62410.0,1.486801982085001
63,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Education,well payed,59250.0,1.411520869068039
64,4,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,52000.0,0.8367446770165546
65,0,25-34,5-7 years,2 - 4 years,Master's degree,Non-binary,Education,well payed,70000.0,1.1263870652145929
66,5,25-34,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,84000.0,1.3516644782575113
67,3,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,bad payed,53000.0,0.8528359208053345
68,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,bad payed,34000.0,0.5471022888185165
69,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed,38000.0,0.6114672639736362
70,0,25-34,5-7 years,2 - 4 years,Master's degree,Man,Public & Government,well payed,87000.0,1.399938209623851
71,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,well payed,122000.0,1.9631317422311476
72,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed,56700.0,1.4781330163298505
73,5,25-34,5-7 years,5-7 years,Some college,Woman,Industry,bad payed,45000.0,0.7241059704950954
74,0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,88000.0,1.416029453412631
75,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,71000.0,1.1424783090033728
76,3,45-54,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed,71000.0,1.1424783090033728
77,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,75000.0,1.2068432841584924
78,3,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed,80000.0,1.287299503102392
79,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,125000.0,2.0114054735974873
80,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,65000.0,1.0459308462706933
81,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Education,well payed,45360.0,1.1825064130638805
82,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,55000.0,0.8850184083828944
83,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Culture,well payed,90000.0,1.4482119409901908
84,1,35-44,8 - 10 years,5-7 years,College degree,Woman,Industry,well payed,105000.0,1.6895805978218892
85,1,35-44,11 - 20 years,11 - 20 years,High School,Man,Non profit Organization,well payed,47400.0,1.1292166952544311
86,3,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed,65000.0,1.0459308462706933
87,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,85000.0,1.3677557220462913
88,2,25-34,8 - 10 years,2 - 4 years,Some college,Woman,Unidentified,bad payed,39520.0,0.6359259545325816
89,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,well payed,90850.0,2.1643319992376595
91,3,55-64,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,well payed,180000.0,2.8964238819803816
92,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed,90000.0,1.4482119409901908
93,5,25-34,5-7 years,5-7 years,Some college,Man,Public & Government,bad payed,24318.0,0.6339548270036914
94,3,55-64,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,well payed,65000.0,1.0459308462706933
95,4,45-54,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,well payed,98166.0,1.5796130377693676
96,0,25-34,5-7 years,1 year or less,Master's degree,Woman,Education,well payed,63500.0,1.0217939805875236
97,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,47700.0,0.7675523287248012
98,0,55-64,31 - 40 years,31 - 40 years,Some college,Man,Technology & Science,well payed,87000.0,1.399938209623851
99,1,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,bad payed,37920.0,0.9033733562035449
100,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed,39635.0,0.6377764475682912
101,5,25-34,8 - 10 years,5-7 years,College degree,Man,Public & Government,bad payed,53000.0,0.8528359208053345
102,3,45-54,31 - 40 years,21 - 30 years,Some college,Woman,Education,bad payed,47255.0,0.7603917252387941
104,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Health,bad payed,34361.0,0.5529112278262661
105,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed,150000.0,2.413686568316985
106,2,25-34,5-7 years,5-7 years,College degree,Woman,Health,well payed,75000.0,1.2068432841584924
107,1,35-44,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed,20000.0,0.321824875775598
108,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,well payed,107220.0,1.7253031590329806
109,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Public & Government,well payed,61620.0,1.4679817038307605
110,3,45-54,21 - 30 years,11 - 20 years,PhD,Man,Education,well payed,95000.0,1.5286681599340903
111,3,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Unidentified,bad payed,42000.0,0.6758322391287557
112,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed,100000.0,1.6091243788779899
113,4,25-34,5-7 years,2 - 4 years,High School,Man,Technology & Science,well payed,63000.0,1.6423700181442784
114,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Education,well payed,119000.0,1.914858010864808
115,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,well payed,83160.0,2.1679284239504475
116,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,63600.0,1.293471629042099
117,1,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed,75000.0,1.2068432841584924
118,3,35-44,2 - 4 years,2 - 4 years,PhD,Woman,Education,well payed,145000.0,2.333230349373085
119,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,75050.0,1.7879264341528494
120,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Advertising,bad payed,48000.0,0.7723797018614351
121,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,well payed,75000.0,1.2068432841584924
122,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,42000.0,0.6758322391287557
123,0,35-44,21 - 30 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed,54000.0,0.8689271645941145
124,3,35-44,5-7 years,5-7 years,PhD,Woman,Education,well payed,72680.0,1.7314655993901278
125,3,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,64096.2,1.6709472564599888
126,1,55-64,31 - 40 years,31 - 40 years,College degree,Woman,Other,bad payed,60000.0,0.9654746273267939
127,5,55-64,31 - 40 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed,101500.0,1.6332612445611596
128,4,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,36883.0,0.593493344661569
129,1,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed,85000.0,1.3677557220462913
130,5,25-34,5-7 years,5-7 years,College degree,Woman,Education,bad payed,62000.0,0.9976571149043537
