,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
0,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
1,1,8 - 10 years,5-7 years,College degree,Non-binary,Technology & Science,well payed
2,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
3,3,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
4,3,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed
5,0,8 - 10 years,2 - 4 years,Master's degree,Man,Education,bad payed
6,3,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed
7,0,5-7 years,5-7 years,Master's degree,Man,Education,bad payed
8,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed
9,3,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,bad payed
10,3,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
11,0,11 - 20 years,5-7 years,PhD,Woman,Education,bad payed
12,1,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,well payed
14,3,1 year or less,1 year or less,College degree,Woman,Health,bad payed
15,1,11 - 20 years,5-7 years,College degree,Man,Technology & Science,bad payed
16,0,8 - 10 years,8 - 10 years,Some college,Woman,Consulting,well payed
17,3,21 - 30 years,21 - 30 years,College degree,Woman,Culture,bad payed
18,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Consulting,well payed
19,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
20,0,5-7 years,5-7 years,Master's degree,Woman,Health,well payed
21,0,5-7 years,2 - 4 years,PhD,Woman,Non profit Organization,bad payed
22,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
23,2,8 - 10 years,2 - 4 years,PhD,Woman,Public & Government,well payed
25,0,11 - 20 years,1 year or less,Master's degree,Woman,Education,bad payed
26,1,5-7 years,2 - 4 years,College degree,Man,Non profit Organization,bad payed
27,3,11 - 20 years,2 - 4 years,College degree,Woman,Law,bad payed
28,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,very well payed
29,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
30,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
31,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Unidentified,very well payed
33,3,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
34,3,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
35,0,5-7 years,2 - 4 years,Master's degree,Woman,Education,well payed
36,3,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,bad payed
37,3,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
38,2,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed
39,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
40,3,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed
41,3,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed
42,1,5-7 years,5-7 years,College degree,Man,Public & Government,well payed
43,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,very well payed
44,1,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,well payed
45,3,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
46,3,5-7 years,5-7 years,PhD,Woman,Technology & Science,very well payed
48,3,11 - 20 years,8 - 10 years,College degree,Woman,Industry,very well payed
50,0,5-7 years,5-7 years,PhD,Woman,Education,well payed
51,0,5-7 years,1 year or less,Master's degree,Woman,Education,bad payed
52,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed
53,0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
54,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed
55,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Industry,well payed
56,2,5-7 years,5-7 years,PhD,Woman,Public & Government,well payed
57,3,11 - 20 years,5-7 years,College degree,Woman,Consulting,well payed
58,0,8 - 10 years,2 - 4 years,Some college,Woman,Law,bad payed
59,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
60,0,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed
61,2,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed
63,0,5-7 years,2 - 4 years,College degree,Woman,Education,well payed
64,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
65,0,5-7 years,2 - 4 years,Master's degree,Non-binary,Education,well payed
66,0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
67,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,bad payed
