,cluster,adjusted_annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,harmonized_salary
0,2,0.8850184083828944,5-7 years,5-7 years,Master's degree,Education,55000.0
1,0,1.89774552128303,8 - 10 years,5-7 years,College degree,Technology & Science,68796.0
2,3,0.5471022888185165,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,34000.0
3,2,1.0459308462706933,8 - 10 years,5-7 years,College degree,Non profit Organization,62000.0
4,2,1.0781133338482531,8 - 10 years,5-7 years,College degree,Banking & Insurance,60000.0
5,3,0.9976571149043537,8 - 10 years,2 - 4 years,Master's degree,Education,62000.0
6,3,0.5631935326072964,2 - 4 years,2 - 4 years,College degree,Culture,33000.0
7,2,0.8045621894389949,5-7 years,5-7 years,Master's degree,Education,50000.0
8,0,1.9631317422311476,21 - 30 years,21 - 30 years,College degree,Technology & Science,112000.0
9,2,0.7241059704950954,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,45000.0
10,2,0.7643340799670452,5-7 years,5-7 years,College degree,Non profit Organization,47500.0
11,2,0.9976571149043537,11 - 20 years,5-7 years,PhD,Education,62000.0
12,0,1.6091243788779899,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,100000.0
13,3,0.8367446770165546,2 - 4 years,2 - 4 years,Unknown,Law,52000.0
14,0,0.6022489041356965,1 year or less,1 year or less,College degree,Health,25280.0
15,0,0.8013722913929384,11 - 20 years,5-7 years,College degree,Technology & Science,30240.0
16,0,1.4482119409901908,8 - 10 years,8 - 10 years,Some college,Consulting,85000.0
17,0,0.949383383538014,21 - 30 years,21 - 30 years,College degree,Culture,59000.0
18,1,1.59303313508921,11 - 20 years,2 - 4 years,Master's degree,Consulting,98000.0
19,1,0.8689271645941145,11 - 20 years,11 - 20 years,Master's degree,Education,54000.0
20,1,1.1907520403697125,5-7 years,5-7 years,Master's degree,Health,74000.0
21,3,0.8045621894389949,5-7 years,2 - 4 years,PhD,Non profit Organization,50000.0
22,0,1.1856775300171527,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,49770.0
23,3,1.5608506475116501,8 - 10 years,2 - 4 years,PhD,Public & Government,96000.0
24,2,0.7160603486007054,5-7 years,2 - 4 years,Unknown,Culture,44500.0
25,1,0.9654746273267939,11 - 20 years,1 year or less,Master's degree,Education,60000.0
26,2,0.9976571149043537,5-7 years,2 - 4 years,College degree,Non profit Organization,62000.0
27,0,0.8367446770165546,11 - 20 years,2 - 4 years,College degree,Law,48000.0
28,1,2.2527741304291857,11 - 20 years,11 - 20 years,Master's degree,Public & Government,140000.0
29,2,1.287299503102392,5-7 years,5-7 years,College degree,Industry,80000.0
30,3,0.6275585077624161,2 - 4 years,2 - 4 years,College degree,Non profit Organization,39000.0
31,0,2.0114054735974873,11 - 20 years,8 - 10 years,Master's degree,Unidentified,125000.0
32,0,3.7009860714193765,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,230000.0
33,0,2.0114054735974873,21 - 30 years,11 - 20 years,College degree,Banking & Insurance,110000.0
34,3,0.8045621894389949,5-7 years,2 - 4 years,College degree,Non profit Organization,50000.0
35,2,1.094204577637033,5-7 years,2 - 4 years,Master's degree,Education,68000.0
36,3,0.6613501197188538,2 - 4 years,2 - 4 years,College degree,Unidentified,41000.0
37,2,1.3838469658350712,5-7 years,2 - 4 years,College degree,Banking & Insurance,76000.0
38,3,1.2551170155248321,8 - 10 years,5-7 years,Master's degree,Public & Government,78000.0
39,3,0.5953760201848562,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,37000.0
40,0,2.413686568316985,21 - 30 years,21 - 30 years,College degree,Industry,100000.0
