,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,payed
0,0,5-7 years,5-7 years,Master's degree,Education,bad payed
1,1,8 - 10 years,5-7 years,College degree,Technology & Science,well payed
2,4,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,bad payed
3,0,8 - 10 years,5-7 years,College degree,Non profit Organization,well payed
4,3,8 - 10 years,5-7 years,College degree,Banking & Insurance,well payed
5,4,8 - 10 years,2 - 4 years,Master's degree,Education,bad payed
6,4,2 - 4 years,2 - 4 years,College degree,Culture,bad payed
7,0,5-7 years,5-7 years,Master's degree,Education,bad payed
8,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,well payed
9,4,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,bad payed
10,0,5-7 years,5-7 years,College degree,Non profit Organization,bad payed
11,2,11 - 20 years,5-7 years,PhD,Education,bad payed
12,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
13,4,2 - 4 years,2 - 4 years,Unknown,Law,bad payed
14,4,1 year or less,1 year or less,College degree,Health,bad payed
15,1,11 - 20 years,5-7 years,College degree,Technology & Science,bad payed
16,3,8 - 10 years,8 - 10 years,Some college,Consulting,well payed
17,4,21 - 30 years,21 - 30 years,College degree,Culture,bad payed
18,0,11 - 20 years,2 - 4 years,Master's degree,Consulting,well payed
19,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
20,0,5-7 years,5-7 years,Master's degree,Health,well payed
21,0,5-7 years,2 - 4 years,PhD,Non profit Organization,bad payed
22,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
23,3,8 - 10 years,2 - 4 years,PhD,Public & Government,well payed
24,4,5-7 years,2 - 4 years,Unknown,Culture,bad payed
25,2,11 - 20 years,1 year or less,Master's degree,Education,bad payed
26,4,5-7 years,2 - 4 years,College degree,Non profit Organization,bad payed
27,4,11 - 20 years,2 - 4 years,College degree,Law,bad payed
28,2,11 - 20 years,11 - 20 years,Master's degree,Public & Government,very well payed
29,0,5-7 years,5-7 years,College degree,Industry,well payed
30,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
31,2,11 - 20 years,8 - 10 years,Master's degree,Unidentified,very well payed
32,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
33,1,21 - 30 years,11 - 20 years,College degree,Banking & Insurance,very well payed
34,4,5-7 years,2 - 4 years,College degree,Non profit Organization,bad payed
35,0,5-7 years,2 - 4 years,Master's degree,Education,well payed
36,4,2 - 4 years,2 - 4 years,College degree,Unidentified,bad payed
37,0,5-7 years,2 - 4 years,College degree,Banking & Insurance,well payed
38,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
39,4,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,bad payed
40,1,21 - 30 years,21 - 30 years,College degree,Industry,very well payed
41,1,11 - 20 years,11 - 20 years,College degree,Advertising,well payed
42,0,5-7 years,5-7 years,College degree,Public & Government,well payed
43,2,8 - 10 years,5-7 years,College degree,Technology & Science,very well payed
44,2,8 - 10 years,8 - 10 years,Master's degree,Technology & Science,very well payed
45,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,well payed
46,2,5-7 years,5-7 years,PhD,Technology & Science,very well payed
47,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
48,1,11 - 20 years,8 - 10 years,College degree,Industry,very well payed
49,3,8 - 10 years,8 - 10 years,College degree,Retail,very well payed
50,0,5-7 years,5-7 years,PhD,Education,well payed
51,0,5-7 years,1 year or less,Master's degree,Education,bad payed
52,3,8 - 10 years,8 - 10 years,College degree,Advertising,well payed
53,2,11 - 20 years,5-7 years,Master's degree,Technology & Science,well payed
54,1,11 - 20 years,11 - 20 years,College degree,Unidentified,bad payed
55,0,21 - 30 years,11 - 20 years,Master's degree,Industry,well payed
56,0,5-7 years,5-7 years,PhD,Public & Government,well payed
57,1,11 - 20 years,5-7 years,College degree,Consulting,well payed
58,4,8 - 10 years,2 - 4 years,Some college,Law,bad payed
59,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
60,4,8 - 10 years,8 - 10 years,College degree,Education,bad payed
61,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
62,1,41 years or more,21 - 30 years,College degree,Construction,very well payed
63,4,5-7 years,2 - 4 years,College degree,Education,well payed
64,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,bad payed
65,0,5-7 years,2 - 4 years,Master's degree,Education,well payed
66,0,5-7 years,5-7 years,Master's degree,Non profit Organization,well payed
67,0,21 - 30 years,11 - 20 years,Master's degree,Health,bad payed
68,0,5-7 years,5-7 years,College degree,Technology & Science,bad payed
69,0,5-7 years,2 - 4 years,Master's degree,Non profit Organization,bad payed
70,0,5-7 years,2 - 4 years,Master's degree,Public & Government,well payed
71,2,11 - 20 years,11 - 20 years,Master's degree,Other,very well payed
72,0,5-7 years,2 - 4 years,Master's degree,Banking & Insurance,well payed
73,0,5-7 years,5-7 years,Some college,Industry,bad payed
74,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,well payed
75,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
76,1,11 - 20 years,11 - 20 years,PhD,Education,well payed
77,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
78,0,21 - 30 years,11 - 20 years,Master's degree,Education,well payed
79,2,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,very well payed
80,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
81,1,21 - 30 years,21 - 30 years,College degree,Education,well payed
82,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
83,1,11 - 20 years,8 - 10 years,College degree,Culture,well payed
84,0,8 - 10 years,5-7 years,College degree,Industry,well payed
85,1,11 - 20 years,11 - 20 years,High School,Non profit Organization,well payed
86,3,11 - 20 years,8 - 10 years,Master's degree,Education,well payed
87,0,5-7 years,2 - 4 years,Master's degree,Consulting,well payed
88,4,8 - 10 years,2 - 4 years,Some college,Unidentified,bad payed
89,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
90,0,8 - 10 years,5-7 years,College degree,Energy,well payed
91,2,31 - 40 years,11 - 20 years,Master's degree,Consulting,very well payed
92,0,5-7 years,5-7 years,Master's degree,Banking & Insurance,well payed
93,0,5-7 years,5-7 years,Some college,Public & Government,bad payed
94,0,31 - 40 years,11 - 20 years,Master's degree,Consulting,well payed
95,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,well payed
96,0,5-7 years,1 year or less,Master's degree,Education,well payed
97,4,5-7 years,2 - 4 years,College degree,Non profit Organization,bad payed
98,1,31 - 40 years,31 - 40 years,Some college,Technology & Science,well payed
99,3,8 - 10 years,8 - 10 years,College degree,Unidentified,bad payed
100,4,2 - 4 years,2 - 4 years,College degree,Education,bad payed
101,4,8 - 10 years,5-7 years,College degree,Public & Government,bad payed
102,4,31 - 40 years,21 - 30 years,Some college,Education,bad payed
103,1,11 - 20 years,11 - 20 years,College degree,Construction,very well payed
104,1,21 - 30 years,11 - 20 years,College degree,Health,bad payed
105,1,21 - 30 years,21 - 30 years,College degree,Industry,very well payed
106,0,5-7 years,5-7 years,College degree,Health,well payed
107,4,5-7 years,2 - 4 years,College degree,Education,very bad payed 
108,0,8 - 10 years,5-7 years,Master's degree,Technology & Science,well payed
109,1,11 - 20 years,5-7 years,College degree,Public & Government,well payed
110,1,21 - 30 years,11 - 20 years,PhD,Education,well payed
111,0,21 - 30 years,11 - 20 years,Master's degree,Unidentified,bad payed
112,0,5-7 years,5-7 years,Master's degree,Banking & Insurance,well payed
113,0,5-7 years,2 - 4 years,High School,Technology & Science,well payed
114,1,11 - 20 years,8 - 10 years,College degree,Education,well payed
115,2,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,very well payed
116,1,11 - 20 years,11 - 20 years,Master's degree,Industry,well payed
117,1,11 - 20 years,11 - 20 years,College degree,Education,well payed
118,4,2 - 4 years,2 - 4 years,PhD,Education,very well payed
119,4,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,very well payed
120,0,5-7 years,5-7 years,Master's degree,Advertising,bad payed
121,1,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,well payed
122,1,11 - 20 years,11 - 20 years,College degree,Unidentified,bad payed
123,0,21 - 30 years,8 - 10 years,Master's degree,Non profit Organization,bad payed
124,0,5-7 years,5-7 years,PhD,Education,well payed
125,0,21 - 30 years,11 - 20 years,Master's degree,Public & Government,well payed
126,4,31 - 40 years,31 - 40 years,College degree,Other,bad payed
127,0,31 - 40 years,21 - 30 years,College degree,Non profit Organization,well payed
128,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,bad payed
129,1,11 - 20 years,11 - 20 years,College degree,Unidentified,well payed
130,4,5-7 years,5-7 years,College degree,Education,bad payed
131,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
132,4,21 - 30 years,21 - 30 years,Master's degree,Education,bad payed
133,3,8 - 10 years,8 - 10 years,College degree,Public & Government,bad payed
134,0,5-7 years,5-7 years,College degree,Consulting,well payed
135,3,21 - 30 years,8 - 10 years,Master's degree,Social,bad payed
136,0,5-7 years,5-7 years,Master's degree,Culture,well payed
137,1,21 - 30 years,21 - 30 years,College degree,Industry,well payed
