,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,adjusted_annual_salary,harmonized_salary
0,1,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,0.8850184083828944,55000.0
1,0,8 - 10 years,5-7 years,College degree,Non-binary,Technology & Science,well payed,1.89774552128303,68796.0
2,2,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,0.5471022888185165,34000.0
3,0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed,1.045930846270693,62000.0
4,2,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed,1.0781133338482531,60000.0
5,1,8 - 10 years,2 - 4 years,Master's degree,Man,Education,bad payed,0.9976571149043536,62000.0
6,0,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed,0.5631935326072964,33000.0
7,1,5-7 years,5-7 years,Master's degree,Man,Education,bad payed,0.8045621894389949,50000.0
8,0,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed,1.963131742231148,112000.0
9,2,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,bad payed,0.7241059704950954,45000.0
10,0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,0.7643340799670452,47500.0
11,4,11 - 20 years,5-7 years,PhD,Woman,Education,bad payed,0.9976571149043536,62000.0
12,2,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,well payed,1.60912437887799,100000.0
14,0,1 year or less,1 year or less,College degree,Woman,Health,bad payed,0.6022489041356965,25280.0
15,3,11 - 20 years,5-7 years,College degree,Man,Technology & Science,bad payed,0.8013722913929384,30240.0
16,0,8 - 10 years,8 - 10 years,Some college,Woman,Consulting,well payed,1.4482119409901908,85000.0
17,0,21 - 30 years,21 - 30 years,College degree,Woman,Culture,bad payed,0.949383383538014,59000.0
18,1,11 - 20 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,1.59303313508921,98000.0
19,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed,0.8689271645941145,54000.0
20,1,5-7 years,5-7 years,Master's degree,Woman,Health,well payed,1.1907520403697125,74000.0
21,4,5-7 years,2 - 4 years,PhD,Woman,Non profit Organization,bad payed,0.8045621894389949,50000.0
22,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,1.1856775300171527,49770.0
23,4,8 - 10 years,2 - 4 years,PhD,Woman,Public & Government,well payed,1.56085064751165,96000.0
25,1,11 - 20 years,1 year or less,Master's degree,Woman,Education,bad payed,0.965474627326794,60000.0
26,3,5-7 years,2 - 4 years,College degree,Man,Non profit Organization,bad payed,0.9976571149043536,62000.0
27,0,11 - 20 years,2 - 4 years,College degree,Woman,Law,bad payed,0.8367446770165546,48000.0
28,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,very well payed,2.2527741304291857,140000.0
29,0,5-7 years,5-7 years,College degree,Woman,Industry,well payed,1.287299503102392,80000.0
30,0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.6275585077624161,39000.0
31,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Unidentified,very well payed,2.011405473597488,125000.0
32,2,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed,3.700986071419377,230000.0
33,2,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed,2.011405473597488,110000.0
34,0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.8045621894389949,50000.0
35,1,5-7 years,2 - 4 years,Master's degree,Woman,Education,well payed,1.094204577637033,68000.0
36,0,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,bad payed,0.6613501197188538,41000.0
37,2,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,1.3838469658350712,76000.0
38,1,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,1.255117015524832,78000.0
39,2,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,0.5953760201848562,37000.0
40,0,21 - 30 years,21 - 30 years,College degree,Woman,Industry,very well payed,2.413686568316985,100000.0
41,0,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed,1.3060752049052118,44100.0
42,3,5-7 years,5-7 years,College degree,Man,Public & Government,well payed,1.045930846270693,65000.0
43,0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,very well payed,3.0975644293401303,187500.0
44,3,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,very well payed,2.0918616925413867,110000.0
45,0,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,1.0962159831106306,66625.0
46,0,5-7 years,5-7 years,PhD,Woman,Technology & Science,very well payed,2.367021961329523,144600.0
47,0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed,3.875576066527638,200850.0
48,0,11 - 20 years,8 - 10 years,College degree,Woman,Industry,very well payed,2.2941680960548885,94800.0
50,4,5-7 years,5-7 years,PhD,Woman,Education,well payed,1.5447594037228702,96000.0
51,1,5-7 years,1 year or less,Master's degree,Woman,Education,bad payed,0.8689271645941145,53000.0
52,0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed,1.6895805978218892,95000.0
53,0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,well payed,1.2068432841584924,72000.0
54,0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,0.9786544692205068,41080.0
55,1,21 - 30 years,11 - 20 years,Master's degree,Woman,Industry,well payed,1.705671841610669,106000.0
56,4,5-7 years,5-7 years,PhD,Woman,Public & Government,well payed,1.8504930357096885,115000.0
57,0,11 - 20 years,5-7 years,College degree,Woman,Consulting,well payed,1.6654437321387194,100500.0
58,0,8 - 10 years,2 - 4 years,Some college,Woman,Law,bad payed,0.5342292937874926,33200.0
59,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,1.7080648188700496,65520.0
60,0,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed,0.8367446770165546,52000.0
61,1,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,1.486801982085001,62410.0
63,0,5-7 years,2 - 4 years,College degree,Woman,Education,well payed,1.411520869068039,59250.0
64,0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,0.8367446770165546,52000.0
65,1,5-7 years,2 - 4 years,Master's degree,Non-binary,Education,well payed,1.1263870652145929,70000.0
66,1,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,1.4868309260832626,84000.0
67,1,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,bad payed,0.8528359208053345,53000.0
68,0,5-7 years,5-7 years,College degree,Woman,Technology & Science,bad payed,0.5792847763960763,34000.0
69,1,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed,0.6114672639736362,38000.0
70,1,5-7 years,2 - 4 years,Master's degree,Man,Public & Government,well payed,1.399938209623851,87000.0
71,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,very well payed,2.0210602198707552,122000.0
72,1,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed,1.5302717470645897,56700.0
73,0,5-7 years,5-7 years,Some college,Woman,Industry,bad payed,0.7241059704950954,45000.0
74,0,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,1.416029453412631,88000.0
75,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,1.1424783090033728,71000.0
76,4,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed,1.1424783090033728,71000.0
77,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,1.2068432841584924,75000.0
78,1,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed,1.287299503102392,80000.0
79,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,very well payed,2.011405473597488,125000.0
80,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,1.045930846270693,65000.0
81,0,21 - 30 years,21 - 30 years,College degree,Woman,Education,well payed,1.1825064130638805,45360.0
82,0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.8850184083828944,55000.0
83,0,11 - 20 years,8 - 10 years,College degree,Woman,Culture,well payed,1.4643031847789707,90000.0
84,0,8 - 10 years,5-7 years,College degree,Woman,Industry,well payed,1.898766767076028,105000.0
85,3,11 - 20 years,11 - 20 years,High School,Man,Non profit Organization,well payed,1.1292166952544311,47400.0
86,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed,1.045930846270693,65000.0
87,1,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,1.5045312942509204,85000.0
88,0,8 - 10 years,2 - 4 years,Some college,Woman,Unidentified,bad payed,0.6359259545325816,39520.0
89,3,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,very well payed,2.1643319992376595,90850.0
91,1,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,very well payed,3.861898509307176,180000.0
92,1,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed,1.4482119409901908,90000.0
93,3,5-7 years,5-7 years,Some college,Man,Public & Government,bad payed,0.6339548270036914,24318.0
94,1,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,well payed,1.1263870652145929,65000.0
95,3,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,well payed,1.5796130377693676,98166.0
96,1,5-7 years,1 year or less,Master's degree,Woman,Education,well payed,1.0217939805875236,63500.0
97,0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.7997348163023609,47700.0
98,3,31 - 40 years,31 - 40 years,Some college,Man,Technology & Science,well payed,1.5286681599340903,87000.0
99,0,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,bad payed,0.9033733562035448,37920.0
100,0,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed,0.6426842769238691,39635.0
