,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
0,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
1,3,8 - 10 years,5-7 years,College degree,Non-binary,Technology & Science,well payed
2,1,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
3,1,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed
4,3,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
5,0,8 - 10 years,2 - 4 years,Master's degree,Man,Education,bad payed
6,1,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed
7,0,5-7 years,5-7 years,Master's degree,Man,Education,bad payed
8,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed
9,1,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,bad payed
10,1,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
11,0,11 - 20 years,5-7 years,PhD,Woman,Education,bad payed
12,2,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,well payed
14,1,1 year or less,1 year or less,College degree,Woman,Health,bad payed
15,2,11 - 20 years,5-7 years,College degree,Man,Technology & Science,bad payed
16,0,8 - 10 years,8 - 10 years,Some college,Woman,Consulting,well payed
17,1,21 - 30 years,21 - 30 years,College degree,Woman,Culture,bad payed
18,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Consulting,well payed
19,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
20,0,5-7 years,5-7 years,Master's degree,Woman,Health,well payed
21,1,5-7 years,2 - 4 years,PhD,Woman,Non profit Organization,bad payed
22,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
23,0,8 - 10 years,2 - 4 years,PhD,Woman,Public & Government,well payed
25,0,11 - 20 years,1 year or less,Master's degree,Woman,Education,bad payed
26,1,5-7 years,2 - 4 years,College degree,Man,Non profit Organization,bad payed
27,1,11 - 20 years,2 - 4 years,College degree,Woman,Law,bad payed
28,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,very well payed
29,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
30,1,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
31,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Unidentified,very well payed
32,4,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed
33,4,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed
34,1,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
35,0,5-7 years,2 - 4 years,Master's degree,Woman,Education,well payed
36,1,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,bad payed
37,3,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
38,0,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed
39,1,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
40,4,21 - 30 years,21 - 30 years,College degree,Woman,Industry,very well payed
41,3,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed
42,2,5-7 years,5-7 years,College degree,Man,Public & Government,well payed
43,4,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,very well payed
44,2,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,very well payed
45,1,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
46,4,5-7 years,5-7 years,PhD,Woman,Technology & Science,very well payed
47,4,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
48,4,11 - 20 years,8 - 10 years,College degree,Woman,Industry,very well payed
50,0,5-7 years,5-7 years,PhD,Woman,Education,well payed
51,0,5-7 years,1 year or less,Master's degree,Woman,Education,bad payed
