"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2020",55206.3936635827,
"AUT","AVWAGE","TOT","USD","A","2020",53131.8472601512,
"BEL","AVWAGE","TOT","USD","A","2020",54326.5981747548,
"CAN","AVWAGE","TOT","USD","A","2020",55342.0428953064,
"CZE","AVWAGE","TOT","USD","A","2020",29884.5888161355,
"DNK","AVWAGE","TOT","USD","A","2020",58429.6521388968,
"FIN","AVWAGE","TOT","USD","A","2020",46229.570198901,
"FRA","AVWAGE","TOT","USD","A","2020",45580.7045304337,
"DEU","AVWAGE","TOT","USD","A","2020",53744.9986010753,
"GRC","AVWAGE","TOT","USD","A","2020",27207.3239886219,
"HUN","AVWAGE","TOT","USD","A","2020",25408.61292954,
"IRL","AVWAGE","TOT","USD","A","2020",49473.5528423192,
"ITA","AVWAGE","TOT","USD","A","2020",37769.0960760782,
"JPN","AVWAGE","TOT","USD","A","2020",38514.8650629664,
"KOR","AVWAGE","TOT","USD","A","2020",41960.2703828377,
"LUX","AVWAGE","TOT","USD","A","2020",65854.0113373947,
"MEX","AVWAGE","TOT","USD","A","2020",16229.9243523757,
"NLD","AVWAGE","TOT","USD","A","2020",58827.5035366225,
"NOR","AVWAGE","TOT","USD","A","2020",55779.8295229485,
"POL","AVWAGE","TOT","USD","A","2020",32527.0516416767,
"PRT","AVWAGE","TOT","USD","A","2020",28410.0381459127,
"SVK","AVWAGE","TOT","USD","A","2020",23618.9987388768,
"ESP","AVWAGE","TOT","USD","A","2020",37922.2024818766,
"SWE","AVWAGE","TOT","USD","A","2020",47020.4898878129,
"CHE","AVWAGE","TOT","USD","A","2020",64824.3810949184,
"GBR","AVWAGE","TOT","USD","A","2020",47147.2016194233,
"USA","AVWAGE","TOT","USD","A","2020",69391.8064217965,
"EST","AVWAGE","TOT","USD","A","2020",30720.2630723187,
"ISR","AVWAGE","TOT","USD","A","2020",39321.7103925356,
"SVN","AVWAGE","TOT","USD","A","2020",41445.1742823172,
"OECD","AVWAGE","TOT","USD","A","2020",49165.3624509906,
"ISL","AVWAGE","TOT","USD","A","2020",67488.0131063208,
"NZL","AVWAGE","TOT","USD","A","2020",45269.4828055042,
"CHL","AVWAGE","TOT","USD","A","2020",26728.9187554196,
"LVA","AVWAGE","TOT","USD","A","2020",29876.4197225361,
"LTU","AVWAGE","TOT","USD","A","2020",31810.9800849974,
