,harmonized_salary,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry cluster tf_idf_bigrams,category_salary,cluster
0,55000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,low,2
1,68796.0,25-34,8 - 10 years,5-7 years,College degree,Non-binary,Technology & Science,medium,2
2,34000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,low,2
3,62000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,medium,0
4,60000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,low,2
5,62000.0,25-34,8 - 10 years,2 - 4 years,Master's degree,Man,Education,medium,2
6,33000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Culture,low,2
7,50000.0,25-34,5-7 years,5-7 years,Master's degree,Man,Education,low,2
8,112000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,high,1
9,45000.0,35-44,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,low,2
10,47500.0,25-34,5-7 years,5-7 years,College degree,Woman,Non profit Organization,low,2
11,62000.0,35-44,11 - 20 years,5-7 years,PhD,Woman,Education,medium,2
12,100000.0,35-44,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,high,1
14,25280.0,18-24,1 year or less,1 year or less,College degree,Woman,Health,low,0
15,30240.0,35-44,11 - 20 years,5-7 years,College degree,Man,Technology & Science,low,1
16,85000.0,35-44,8 - 10 years,8 - 10 years,Some college,Woman,Consulting,medium,0
17,59000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Culture,low,2
18,98000.0,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Consulting,high,0
19,54000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,low,2
20,74000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Health,medium,0
21,50000.0,35-44,5-7 years,2 - 4 years,PhD,Woman,Non profit Organization,low,2
22,49770.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,low,2
23,96000.0,35-44,8 - 10 years,2 - 4 years,PhD,Woman,Public & Government,high,0
25,60000.0,35-44,11 - 20 years,1 year or less,Master's degree,Woman,Education,low,2
26,62000.0,25-34,5-7 years,2 - 4 years,College degree,Man,Non profit Organization,medium,0
27,48000.0,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Law,low,0
28,140000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,high,0
29,80000.0,25-34,5-7 years,5-7 years,College degree,Woman,Industry,medium,0
30,39000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,low,2
31,125000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Unidentified,high,0
32,230000.0,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,high,1
33,110000.0,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,high,1
34,50000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,low,2
35,68000.0,35-44,5-7 years,2 - 4 years,Master's degree,Woman,Education,medium,2
36,41000.0,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,low,2
37,76000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,medium,0
